sample,morpho_family
DKA1BS63,Thomisidae
DKA1BS64,Thomisidae
DKA1D2,Theridiidae
DKA1LL1,Lycosidae
DKA1LL2,Oonopidae
DKA1LL3,Coriniidae
DKA1LL4,Theridiidae
DKA1LL6,Schizomidae
DKA1N1,Uloboridae
DKA1N11,Thomisidae
DKA1N16,Theridiidae
DKA1N8,Tetragnathidae
DKA1W1,Araneidae
DKA1W10,Araneidae
DKA1W11,Araneidae
DKA1W12,Uloboridae
DKA1W13,Araneidae
DKA1W14,Araneidae
DKA1W15,Tetragnathidae
DKA1W16,Araneidae
DKA1W17,Salticidae
DKA1W2,Araneidae
DKA1W3,Theridiidae
DKA1W4,Araneidae
DKA1W5,Araneidae
DKA1W6,Araneidae
DKA1W7,Tetragnathidae
DKA1W8,Araneidae
DKA1W9,Araneidae
DKA2BS21,Salticidae
DKA2D4,Araneidae
DKA2D6,Araneidae
DKA2LL1,Oonopidae
DKA2LL3,Theridiidae
DKA2LL4,Theridiidae
DKA2N1,Sparassidae
DKA2N23,Theridiidae
DKA2N26,Theridiidae
DKA2N27,Thomisidae
DKA2N28,Araneidae
DKA2N30,Araneidae
DKA2N31,Theridiidae
DKA2N8,Theridiidae
DKA2W1,Araneidae
DKA2W10,Pholcidae
DKA2W11,Araneidae
DKA2W12,Theridiidae
DKA2W13,Theridiidae
DKA2W14,Araneidae
DKA2W15,Pholcidae
DKA2W16,Araneidae
DKA2W2,Tetragnathidae
DKA2W3,Tetragnathidae
DKA2W6,Araneidae
DKA2W7,Araneidae
DKA2W8,Theridiidae
DKA2W9,Araneidae
DKB1BS63,Thomisidae
DKB1BS76,Thomisidae
DKB1D10,Araneidae
DKB1D11,Uloboridae
DKB1D3,Uloboridae
DKB1D9,Araneidae
DKB1LL2,Zodariidae
DKB1LL4,Sparassidae
DKB1LL5,Coriniidae
DKB1N14,Tetragnathidae
DKB1N5,Sparassidae
DKB1N7,Araneidae
DKB1PF21,Mygalomorph
DKB1W1,Theridiidae
DKB1W10,Theridiidae
DKB1W11,Tetragnathidae
DKB1W12,Araneidae
DKB1W13,Uloboridae
DKB1W14,Psechridae
DKB1W15,Tetragnathidae
DKB1W16,Araneidae
DKB1W17,Psechridae
DKB1W2,Tetragnathidae
DKB1W3,Pholcidae
DKB1W4,Tetragnathidae
DKB1W5,Theridiidae
DKB1W7,Araneidae
DKB1W8,Tetragnathidae
DKB1W9,Araneidae
DKB2BS21,Sparassidae
DKB2BS41,Oxyopidae
DKB2D10,Tetragnathidae
DKB2D5,Pholcidae
DKB2D7,Clubionidae
DKB2LL1,Zodariidae
DKB2LL2,Sparassidae
DKB2LL41,Segestriidae
DKB2LL5,Zodariidae
DKB2LL61,Oonopidae
DKB2LL62,Oonopidae
DKB2LL9,Coriniidae
DKB2N10,Pholcidae
DKB2N11,Hersiliidae
DKB2N12,Theridiidae
DKB2N15,Clubionidae
DKB2N17,Uloboridae
DKB2N19,Tetragnathidae
DKB2N21,Theridiidae
DKB2N22,Araneidae
DKB2N5,Mimetidae
DKB2N9,Sparassidae
DKB2W1,Tetragnathidae
DKB2W10,Tetragnathidae
DKB2W11,Araneidae
DKB2W2,Theridiidae
DKB2W3,Theridiidae
DKB2W4,Psechridae
DKB2W5,Tetragnathidae
DKB2W7,Tetragnathidae
DKB2W8,Tetragnathidae
DKC1BS11,Sparassidae
DKC1BS12,Theridiidae
DKC1BS25,Linyphiidae
DKC1BS26,Clubionidae
DKC1BS31,Sparassidae
DKC1BS45,Theridiosomatidae
DKC1D1,Thomisidae
DKC1D6,Linyphiidae
DKC1LL21,Zodariidae
DKC1LL5,Linyphiidae
DKC1LL6,Theridiosomatidae
DKC1LL8,Oonopidae
DKC1N1,Thomisidae
DKC1N10,Araneidae
DKC1N11,Araneidae
DKC1N12,Linyphiidae
DKC1N13,Thomisidae
DKC1N14,Thomisidae
DKC1N15,Thomisidae
DKC1N16,Thomisidae
DKC1N17,Theridiidae
DKC1N2,Salticidae
DKC1N22,Theridiidae
DKC1N5,Mimetidae
DKC1N6,Zodariidae
DKC1W1,Tetragnathidae
DKC1W2,Tetragnathidae
DKC1W3,Theridiidae
DKC2BS21,Salticidae
DKC2BS22,Salticidae
DKC2BS35,Oxyopidae
DKC2BS610,Theridiidae
DKC2BS75,Theridiidae
DKC2D1,Araneidae
DKC2D10,Linyphiidae
DKC2D11,Linyphiidae
DKC2D6,Theridiidae
DKC2LL3,Lycosidae
DKC2LL6,Hahniidae
DKC2LL8,Oonopidae
DKC2LL9,Ctenidae
DKD1BS41,Salticidae
DKD1BS42,Oonopidae
DKD1BS51,Theridiidae
DKD1D1.F7R21,Tetragnathidae
DKD1D3,Tetragnathidae
DKD1D4,Linyphiidae
DKD1LL2,Hahniidae
DKD1LL3,Zodariidae
DKD1LL4,Oonopidae
DKD1N11,Theridiidae
DKD1N13,Zodariidae
DKD1N14,Thomisidae
DKD1N19,Oonopidae
DKD1N2,Tetragnathidae
DKD1N22,Liocranidae
DKD1N3,Uloboridae
DKD1N6,Linyphiidae
DKD1N8,Theridiidae
DKD1N9,Theridiidae
DKD1W1,Tetragnathidae
DKD1W10,Linyphiidae
DKD1W11,Linyphiidae
DKD1W2,Tetragnathidae
DKD1W4,Tetragnathidae
DKD1W5,Theridiidae
DKD1W6,Araneidae
DKD1W7,Tetragnathidae
DKD1W8,Uloboridae
DKD1W9,Uloboridae
DKD2BS41,Salticidae
DKD2D3,Linyphiidae
DKD2D6,Theridiidae
DKD2D7,Salticidae
DKD2LL2,Zodariidae
DKD2N1,Zodariidae
DKD2N3,Clubionidae
DKD2N7,Tetragnathidae
DKD2N91,theridiidae
DKD2W1,Tetragnathidae
DKD2W10,Tetragnathidae
DKD2W11,Tetragnathidae
DKD2W12,Theridiidae
DKD2W13,Tetragnathidae
DKD2W14,Theridiidae
DKD2W15,Theridiidae
DKD2W16,Linyphiidae
DKD2W17,Theridiidae
DKD2W2,Tetragnathidae
DKD2W3,Theridiidae
DKD2W5,Tetragnathidae
DKD2W6,Tetragnathidae
DKD2W7,Theridiidae
DKD2W8,Tetragnathidae
DKD2W9,Oonopidae
DKE1BS11,Tetragnathidae
DKE1BS21,Cheiracanthiidae
DKE1BS22,Salticidae
DKE1BS23,Linyphiidae
DKE1BS24,Thomisidae
DKE1BS52,Cheiracanthiidae
DKE1BS53,Theridiosomatidae
DKE1BS61,Salticidae
DKE1BS62,Linyphiidae
DKE1BS63,Tetragnathidae
DKE1BS64,Thomisidae
DKE1BS71,Cheiracanthiidae
DKE1BS72,Salticidae
DKE1BS73,Tetragnathidae
DKE1D1,Tetragnathidae
DKE1D4,Linyphiidae
DKE1LL2,Lycosidae
DKE1LL3,Sparassidae
DKE1LL4,Oonopidae
DKE1LL5,Linyphiidae
DKE1N3,Tetragnathidae
DKE1N4,Tetragnathidae
DKE1PF1,Lycosidae
DKE1W1,Tetragnathidae
DKE1W10,Tetragnathidae
DKE1W11,Theridiosomatidae
DKE1W12,Theridiosomatidae
DKE1W13,Tetragnathidae
DKE1W14,Pisauridae
DKE1W15,Tetragnathidae
DKE1W16,Pisauridae
DKE1W3,Tetragnathidae
DKE1W5,Araneidae
DKE1W6,Tetragnathidae
DKE1W7,Tetragnathidae
DKE1W8,Tetragnathidae
DKE1W9,Theridiosomatidae
DKE2BS11,Tetragnathidae
DKE2BS12,Salticidae
DKE2BS21,Salticidae
DKE2BS22,Theridiidae
DKE2BS31,Tetragnathidae
DKE2BS41,Tetragnathidae
DKE2BS51,Tetragnathidae
DKE2BS52,Linyphiidae
DKE2BS61,Tetragnathidae
DKE2BS71,Tetragnathidae
DKE2LL2,Oonopidae
DKE2LL3,Theridiosomatidae
DKE2LL4,Linyphiidae
DKE2N11,Linyphiidae
DKE2N15,Thomisidae
DKE2N4,Sparassidae
DKE2N5,Mimetidae
DKE2N7,Zodariidae
DKE2N9,Thomisidae
DKE2W1,Linyphiidae
DKE2W10,Tetragnathidae
DKE2W12,Tetragnathidae
DKE2W13,Linyphiidae
DKE2W14,Tetragnathidae
DKE2W15,Tetragnathidae
DKE2W2,Araneidae
DKE2W3,Tetragnathidae
DKE2W4,Tetragnathidae
DKE2W5,Linyphiidae
DKE2W6,Tetragnathidae
DKE2W8,Theridiosomatidae
DKE2W9,Tetragnathidae
GORA1BS21,Salticidae
GORA1BS23,Mimetidae
GORA1BS24,Thomisidae
GORA1BS71,Salticidae
GORA1D1,Uloboridae
GORA1D2,Salticidae
GORA1D3,Pholcidae
GORA1D4,Linyphiidae
GORA1D7,Theridiidae
GORA1LL3,Sparassidae
GORA1LL6,Ctenidae
GORA1N11,Theridiidae
GORA1N13,Theridiidae
GORA1N15,Theridiidae
GORA1N17,Sparassidae
GORA1N18,Salticidae
GORA1N2,Theridiidae
GORA1N20,Pholcidae
GORA1N21,Araneidae
GORA1N22,Theridiidae
GORA1N25,Theridiidae
GORA1N27,Tetragnathidae
GORA1N29,Theridiidae
GORA1N4,Araneidae
GORA1N5,Tetragnathidae
GORA1N6,Tetragnathidae
GORA1N8,Uloboridae
GORA1PF11,Araneidae
GORA1PF12,Lycosidae
GORA1PF21,Schizomid
GORA1W1,Tetragnathidae
GORA1W10,Tetragnathidae
GORA1W2,Theridiidae
GORA1W3,Araneidae
GORA1W5,Tetragnathidae
GORA1W6,Theridiidae
GORA1W7,Theridiidae
GORA1W8,Tetragnathidae
GORA2BS41,Thomisidae
GORA2BS61,Tetragnathidae
GORA2BS71,Tetragnathidae
GORA2D1,Pholcidae
GORA2D2,Araneidae
GORA2D5,Theridiidae
GORA2LL5,Salticidae
GORA2LL6,Coriniidae
GORA2N12,Theridiidae
GORA2N4,Coriniidae
GORA2N5,Oxyipdae
GORA2N7,Tetragnathidae
GORA2N8,Araneidae
GORA2PF11,Lycosidae
GORA2PF12,Lycosidae
GORA2PF13,Mygalomorph
GORA2W1,Theridiidae
GORA2W10,Tetragnathidae
GORA2W12,Araneidae
GORA2W13,Araneidae
GORA2W2,Tetragnathidae
GORA2W3,Theridiidae
GORA2W4,Araneidae
GORA2W5,Tetragnathidae
GORA2W6,Araneidae
GORA2W8,Tetragnathidae
GORA2W9,Tetragnathidae
GORB1BS21,Salticidae
GORB1BS51,Oonopidae
GORB1D3,Araneidae
GORB1D4,Psechridae
GORB1LL1,Ctenidae
GORB1LL2,Oonopidae
GORB1N13,Theridiidae
GORB1N14,Linyphiidae
GORB1N15,Araneidae
GORB1N16,Tetragnathidae
GORB1N17,Theridiidae
GORB1N3,Salticidae
GORB1N4,Hersiliidae
GORB1N5,Uloboridae
GORB1N7,Oxyipdae
GORB1N8,Zodariidae
GORB1PF1,Oonopidae
GORB1PF4,Zodariidae
GORB1W12,Araneidae
GORB1W14,Araneidae
GORB1W15,Theridiidae
GORB1W2,Araneidae
GORB1W3,Pisauridae
GORB1W4,Psechridae
GORB1W5,Araneidae
GORB1W6,Uloboridae
GORB1W7,Araneidae
GORB1W8,Psechridae
GORB1W9,Uloboridae
GORB2D11,Linyphiidae
GORB2D2,Araneidae
GORB2D3,Salticidae
GORB2D4,Araneidae
GORB2D6,Linyphiidae
GORB2D7,Cyatholipidae
GORB2D8,Araneidae
GORB2LL1,Clubionidae
GORB2LL2,Ctenidae
GORB2N10,Uloboridae
GORB2N11,Linyphiidae
GORB2N4,Araneidae
GORB2N6,Sparassidae
GORB2N7,Coriniidae
GORB2N9,Uloboridae
GORB2PF1,Oonopidae
GORB2PF2,Linyphiidae
GORB2W1,Araneidae
GORB2W2,Araneidae
GORB2W3,Araneidae
GORB2W4,Psechridae
GORB2W5,Theridiidae
GORB2W6,Araneidae
GORB2W8,Araneidae
GORC1BS1,Araneidae
GORC1BS2,Salticidae
GORC1BS3,Clubionidae
GORC1BS4,Pseudoscorpion
GORC1D1,Araneidae
GORC1D2,Uloboridae
GORC1D3,Araneidae
GORC1D4,Araneidae
GORC1D5,Theridiidae
GORC1D7,Linyphiidae
GORC1D8,Coriniidae
GORC1D9,Linyphiidae
GORC1LL1,Linyphiidae
GORC1LL2,Zodariidae
GORC1LL3,Coriniidae
GORC1N1.F2R2,Uloboridae
GORC1N10,Theridiidae
GORC1N11,Pholcidae
GORC1N12,Theridiidae
GORC1N13,Tetragnathidae
GORC1N14,Theridiidae
GORC1N15,Linyphiidae
GORC1N18,Tetragnathidae
GORC1N2,Araneidae
GORC1N3,Mimetidae
GORC1N4,Theridiidae
GORC1N8,Theridiidae
GORC1N9,Theridiidae
GORC1PF1,Zodariidae
GORC1PF2,Zodariidae
GORC1PF4,Coriniidae
GORC1W1,Araneidae
GORC1W10,Tetragnathidae
GORC1W4,Araneidae
TPPA1BS11,Tetragnathidae
TPPA1BS51,Salticidae
TPPA1D1,Psechridae
TPPA1D2,Theridiidae
TPPA1D3,Pholcidae
TPPA1D4,Salticidae
TPPA1D5,Tetragnathidae
TPPA1LL3,Coriniidae
TPPA1LL6,Sparassidae
TPPA1LL7,Theridiidae
TPPA1N1,Theridiidae
TPPA1N10,Theridiosomatidae
TPPA1N11,Theridiidae
TPPA1N12,Theridiidae
TPPA1N13,Theridiidae
TPPA1N14,Theridiidae
TPPA1N15,Tetragnathidae
TPPA1N16,Linyphiidae
TPPA1N2,Theridiidae
TPPA1N3,Tetragnathidae
TPPA1N4,Tetragnathidae
TPPA1N5,Theridiidae
TPPA1N6,Tetragnathidae
TPPA1N8,Theridiosomatidae
TPPA1N9,Linyphiidae
TPPA1W1,Tetragnathidae
TPPA1W10,Tetragnathidae
TPPA1W11,Theridiosomatidae
TPPA1W12,Tetragnathidae
TPPA1W13,Tetragnathidae
TPPA1W14,Linyphiidae
TPPA1W15,Araneidae
TPPA1W2,Psechridae
TPPA1W3,Theridiidae
TPPA1W5,Tetragnathidae
TPPA1W6,Tetragnathidae
TPPA1W7,Tetragnathidae
TPPA1W8,Tetragnathidae
TPPA1W9,Psechridae
TPPA2D1,Linyphiidae
TPPA2D2,Coriniidae
TPPA2D3,Theridiidae
TPPA2D4,Salticidae
TPPA2D5,Tetragnathidae
TPPA2D6,Araneidae
TPPA2D7,Linyphiidae
TPPA2LL10,Zodariidae
TPPA2LL11,Theridiidae
TPPA2LL5,Coriniidae
TPPA2LL7,Sparassidae
TPPA2N10,Theridiidae
TPPA2N11,Linyphiidae
TPPA2N43,theridiidae
TPPA2N5,Psechridae
TPPA2N6,Araneidae
TPPA2N7,Psechridae
TPPA2N8,Uloboridae
TPPA2N9,Theridiidae
TPPA2PF1,Lycosidae
TPPA2W1,Uloboridae
TPPA2W2,Araneidae
TPPA2W3,Psechridae
TPPA2W4,Araneidae
TPPA2W5,Tetragnathidae
TPPA2W6,Tetragnathidae
TPPA2W7,Araneidae
TPPA3BS51,Theridiidae
TPPA3D2,Tetragnathidae
TPPA3N10,Uloboridae
TPPA3N2,Tetragnathidae
TPPA3N3,Theridiosomatidae
TPPA3N8,Araneidae
TPPA3N9,Araneidae
TPPA3W1,Tetragnathidae
TPPA3W10,Psechridae
TPPA3W11,Pholcidae
TPPA3W13,Araneidae
TPPA3W14,Theridiidae
TPPA3W15,Araneidae
TPPA3W16,Araneidae
TPPA3W2,Tetragnathidae
TPPA3W4,Araneidae
TPPA3W5,Araneidae
TPPA3W6,Mysmenidae
TPPA3W7,Psechridae
TPPA3W8,Tetragnathidae
TPPA3W9,Araneidae
TPPB1D1,Araneidae
TPPB1D11,Araneidae
TPPB1D12,Linyphiidae
TPPB1D15,Linyphiidae
TPPB1D16,Araneidae
TPPB1D17,Tetragnathidae
TPPB1D18,Linyphiidae
TPPB1D19,Tetragnathidae
TPPB1D2,Salticidae
TPPB1D3,Linyphiidae
TPPB1D4,Araneidae
TPPB1D5,Araneidae
TPPB1D6,Salticidae
TPPB1D7,Araneidae
TPPB1D8,Araneidae
TPPB1LL10,Oonopidae
TPPB1LL12,Theridiidae
TPPB1LL13,Lycosidae
TPPB1LL3,Zodariidae
TPPB1LL4,Sparassidae
TPPB1LL6,Zodariidae
TPPB1PF1,Salticidae
TPPC1BS51,Thomisidae
TPPC1D1,Psechridae
TPPC1D10,Tetragnathidae
TPPC1D2,Uloboridae
TPPC1D3,Mysmenidae
TPPC1D4,Theridiidae
TPPC1D5,Theridiidae
TPPC1D6,Psechridae
TPPC1D7,Linyphiidae
TPPC1D8,Tetragnathidae
TPPC1D9,Theridiosomatidae
TPPC1LL2,Zodariidae
TPPC1LL3,Zodariidae
TPPC1LL7,Sparassidae
TPPC1W1,Psechridae
TPPC1W10,Tetragnathidae
TPPC1W14,Tetragnathidae
TPPC1W15,Linyphiidae
TPPC1W16,Theridiidae
TPPC1W17,Tetragnathidae
TPPC1W18,Tetragnathidae
TPPC1W19,Araneidae
TPPC1W2,Deinopidae
TPPC1W20,Deinopidae
TPPC1W21,Tetragnathidae
TPPC1W3,Tetragnathidae
TPPC1W5,Tetragnathidae
TPPC1W6,Uloboridae
TPPC1W7,Pholcidae
TPPC1W8,Tetragnathidae
TPPC1W9,Tetragnathidae
TPPC2BS31,Linyphiidae
TPPC2BS61,Salticidae
TPPC2LL2,Hahniidae
TPPC2LL8,Theridiosomatidae
TPPC2N1,Araneidae
TPPC2N10,Linyphiidae
TPPC2N11,Uloboridae
TPPC2N12,Theridiidae
TPPC2N13,Theridiosomatidae
TPPC2N14,Tetragnathidae
TPPC2N15,Theridiosomatidae
TPPC2N16,Theridiidae
TPPC2N17,Theridiidae
TPPC2N2,Thomisidae
TPPC2N3,Tetragnathidae
TPPC2N4,Psechridae
TPPC2N5,Theridiidae
TPPC2N6,Theridiidae
TPPC2N8,Linyphiidae
TPPC2N9,Linyphiidae
TPPC2PF4,Zodariidae
TPPC2PF6,Zodariidae
TPPC2PF7,Hahniidae
TPPC2W1,Linyphiidae
TPPC2W2,Tetragnathidae
TPPC2W5,Theridiidae
TPPC2W6,Theridiidae
TPPC2W7,Araneidae
TPPD1BS21,Thomisidae
TPPD1BS22,Tetragnathidae
TPPD1BS23,Theridiidae
TPPD1BS31,Uloboridae
TPPD1BS61,Linyphiidae
TPPD1N1,Theridiidae
TPPD1NA20,Tetragnathidae
TPPD1NA21,Uloboridae
TPPD1PF2,Pisauridae
TPPD1PF3,Zodariidae
TPPD1W1,Theridiidae
TPPD1W2,Tetragnathidae
TPPD1W4,Araneidae
TPPD1W5,Araneidae
TPPD1W6,Tetragnathidae
TPPE1BS21,Tetragnathidae
TPPE1BS22,Salticidae
TPPE1BS32,Thomisidae
TPPE1BS41,Tetragnathidae
TPPE1BS51,Tetragnathidae
TPPE1BS53,Salticidae
TPPE1BS71,Thomisidae
TPPE1D1,Clubionidae
TPPE1LL1,Zodariidae
TPPE1LL2,Oonopidae
TPPE1LL4,Hahniidae
TPPE1N7,Cheiracanthiidae
TPPE1PF22,Zodariidae
